Tweet,For guns?,Location,For guns,Against guns,Makes no sense
"@EricMGarcia Confirmed by 1 vote margin, or was it 2? Didn’t know what IDEA was &amp; made lame joke about guns in schools when senator from CT (CT!) asked about guns in schools. 2 Qs: how much longer? Who actually is running DOEd? Names, please.",0.0,"Austin, TX",0,1,0
"@jeffgoldesq Help is on the way.  No more dancing around this issue. 🤢The highly qualified, Betsy DeVos 🤮 is going to head a commission to study proposals for raising the minimum age for buying guns from 18 to  21 &amp; requiring background checks.😩 MAGA=Making America's Guns Accessible.",0.0,"Davis, CA",0,1,0
Statistics show that about 15 students per week report sexual abuse by teacher or peer. Should we empower teachers with guns? No!,0.0,"Powell, OH",0,1,0
❤️🇸🇪👍🌈🌎☮️ ,-2.0,"Culver City, CA",0,0,1
"Guns for everyone, allowed everywhere.  When the bad guys have them, then let the good guys have them too.  #45forschoolguard#MAGA",1.0,"Dearborn, MI",1,0,0
This is unbelievable...a “so called” Christian Leader inciting violence and promoting killing...evidently he has never even read the Bible ,0.0,"Florida, USA",0,1,0
#teamfollowback ,-2.0,"Sewell, NJ",0,0,1
Had that shit happen to me and a buddy one night cause we matched a description of dudes who were shooting guns at a bar ,-2.0,"Chattanooga, TN",0,0,1
Please don’t call her a snowflake. She’s a used up assault weapon ho. ,1.0,"Woodland, CA",1,0,0
"@kurteichenwald I can't because of Ms.💩4⃣🧠@DLoesch bringing the Big ""BLOCK 🔨"" down on me, because she didn't like our discussion about firearms &amp; her being an asshole, when she unleashed her bot Army👹on me, with many of them threatening me with bodily harm and/or death. Not cool.",-2.0,"Sheridan, WY",0,0,1
A kid DID JUST THAT at my kids high school early 2000. He put in his gym shorts and went to pull out with a finger around trigger. He left crying.  Thank God instead of other kids. ,0.0,"Galt, CA",0,1,0
@zerohedge I can’t wait until everyone learns about #primecoin and music miners. Then they will know the truth about guns.,-2.0,"Plano, TX",0,0,1
"For those of you on your soap box about weapons... YOU NEED TO learn what they are, and correctly identify them before you continue. Y'all won't get mine. Some of you thing shotguns are assault weapons. Guns don't hurt people..stupid people do #BanAssaultWeapons #youneedahobby ",1.0,"Pooler, GA",1,0,0
@monaeltahawy @KateHarding Those brides need some firearms for protection.,1.0,"Dearborn, MI",1,0,0
The roommate just has to wait for this piece of shit to return home. ,-2.0,"Mesa, AZ",0,0,1
"@justneanie @zsixkillerk @Greg33270475 @skyzbabe1961 @MustacheChuck @HuevosDeChivo @RealJamesWoods @DNC You’re very naive if you truly believe this. There’s a history of the Left trying to ban guns, they jump at every opportunity, like the Parkland shooting, to attack gun ownership and the NRA.",1.0,"Missouri, USA",1,0,0
I used to think guns were load until I dropped the shampoo in the shower 😂,1.0,"Bryan, TX",1,0,0
#PresidentBoneSpur #cowardice is in full view #BogusPOTUS #GunReformNow ,0.0,"Napa, CA",0,1,0
Poignant.  # via @HuffPostEnt,-2.0,"San Francisco, CA",0,0,1
@marcorubio @POTUS @realDonaldTrump Why do we need fast killing guns? Why do you need NRA $? ,0.0,"Iona, FL",0,1,0
"
😍",-2.0,"New York, USA",0,0,1
"Lesley was very combative , as usual with #MSM gals and guys interviewing #Rs... ",-2.0,"Los Angeles, CA",0,0,1
"@paulbaker3 @KyleKashuv So suddenly certain guns have become self aware and are inherently evil. Am I getting this right.... holy shit this video is terrible. Misleading, factually inaccurate (about Australia), and just overall horrible. Paul we have our work cut out for us with this garbage propaganda",1.0,"Houston, TX",1,0,0
Can someone please tell me why #vaginas are more regulated than #guns? I’ll wait. #GunReformNow ,0.0,"Princeton, NJ",0,1,0
"@ananavarro @FLGovScott Laws will not stop bad people with guns.  Or knives. Or ball bats. Or cars. Or screwdrivers. Or crack cocaine. Or heroine. Or chloroform. Or hammers, &amp; hatchets, &amp; rope, classified emails, &amp; insider trading. Sometimes it’s a forest and tree thing. Nothing more",1.0,"Kentucky, USA",1,0,0
do u think we could get them to raise the minimum *wage* if we said people would use the extra money to buy guns ,0.0,"Richmond, CA",0,1,0
Imagine that.... has it been 18 days ALREADY? ,-2.0,"Bellmawr, NJ",0,0,1
Trump has just flipped America off with his two fat tiny squatty middle fingers. ,0.0,"Wayland, MI",0,1,0
"Right, lets arm these Barney Fife wannabes and put kids in greater danger than exists now.
@GOP 
@RawStory ",0.0,"Webster, NY",0,1,0
@LociPanda Guns save more lives a year than they take! Genius!,0.0,"Pennsylvania, USA",0,1,0
@marcorubio @realDonaldTrump ,-2.0,"Iona, FL",0,0,1
"@CoryGardner MUST GO! 
#VoteThemOut 
#BlueWave2018 ",0.0,"Southglenn, CO",0,1,0
The Netherlands- as all other countries in the🌎- has neither 2A nor the  phuqn .@NRA‼️ Thus a good guy w/ a backpack beat a bad guy w/ a knife‼️ ,0.0,"Charlotte, NC",0,1,0
@CyrusToulabi Cave it is! Sad it is! I think they let Ric Scott sacrifice his new law to the @NRA lawsuit. @nra is suing on the grounds that putting artificial age limits on the purchase of long guns is unconstitutional. I believe the @nra lawsuit was a foregone conclusion.,0.0,"Alamogordo, NM",0,1,0
@SportsGrind Guns up ,-2.0,"San Antonio, TX",0,0,1
@odonnell_88 @ChuckingHell @NRATV @MrColionNoir The 2nd amendment is to protect against foreign invasion and provide the people a way guard against tyranny. The used arms to allow for tech advancements. I understand you may not agree with people having guns but to millions it’s totally natural.,1.0,"Holly Springs, MS",1,0,0
@YaakovMarramar Launder the money for the high level dealers. Guns “kill our kids” but I don’t see Trump supporters giving a shit.,0.0,"Yorba Linda, CA",0,1,0
"@larsoer @CNN He hasn't written an executive order because any gun laws have to go thru Congress. He was reacting hastily, just like the gun grabbers who blame the NRA and let the real morons responsible for the deaths get away scott free.",1.0,"Philadelphia, PA",1,0,0
Omg can we fast forward to the moment the Parkland Generation takes over everything? ,-2.0,"St Paul, MN",0,0,1
"I am loving #TheChi. @LenaWaithe shows Black boys in their fullness- having conversations in their own voices from guns to tampons. I equally love Ms. Ethel scenes with Jada, especially her insistence of joint manicures, reminded me of how my grandma showed her love",-2.0,"San Francisco, CA",0,0,1
If you got a badge  You trying to kill Bad cops needTaking off the street take the guns off bad cops stop shoot Kid It’s bullshit what they do on the street when a cop,-2.0,"Bay Point, CA",0,0,1
@PhilipRucker There definitely won’t be any restrictions on grizzly bear guns now.,-2.0,"McLean, VA",0,0,1
Absolutely agree. ,-2.0,"Sioux City, IA",0,0,1
"Gee, is this a surprise to any of us? ",-2.0,"Sun City West, AZ",0,0,1
I have no gun and very little money . I rejoined the NRA. #tcot ,0.0,"North Gates, NY",0,1,0
"White House Vows To Help Arm Teachers And Backs Off Raising Age For Buying Guns To Placate The NRA

#TrumpIsNRAPuppet",0.0,"New Port Richey, FL",0,1,0
@realDonaldTrump ,-2.0,"Texas, USA",0,0,1
2 Security Guards w guns one shot but didn’t hit anything. Suspect w a chain hits a random woman n cars as he tries to escape. This guy is a POS the guards should NOT be armed if they’re going to just fire off shots like this. Ridiculous! ,0.0,"Anchorage, AK",0,1,0
"I was just cleaning out my closet &amp; noticed my secured guns there in the back in their cabinet. I'm so proud of them. People keep saying guns are killing people but mine are just sitting there obediently, minding their own business. I think I raised them right. #2A #2ndAmendment",1.0,"Florida, USA",1,0,0
"Surprise!

This administration is about...
GIFTING not GOVERNING!

LOYALTY not LAW

TREASON not PATRIOTISM 

DECEPTION not TRUTH

This administration is deficating on everything American.

Somebody get me a plunger! ",0.0,"Delaware, USA",0,1,0
⤵️⤵️⤵️ twitter verified a--hole ,-2.0,"Fairland, MD",0,0,1
"And the final walk back from #Trump to the view of his masters at the @NRA. This administration will do nothing to advance any common sense or effective #GunReformNow, and will do squarely as they’re told. #NRAIsATerroristOrganization #NeverAgain

",0.0,"Pennsylvania, USA",0,1,0
"I’m sitting at a bar in Houston, Texas. Next to me is a group of 5 strangers debating gun laws, and they are split on gun ownership rights, but agree that no one should have automatics.  We are far more alike as people than social media would want us to believe.",0.0,"Houston, TX",0,1,0
"Now she has two kids, thinks guns should all be assault weapons and is extremely threatened by people of various genders being in the same bathroom as her.",-2.0,"Westbury, NY",0,0,1
"@TitusNation That there is no law that can be imposed that would actual stop the gun carnage.  We should instead invest heavily in mental health.  There are 300 million guns in America, a crazy shooter can get his hands on a gun even with gun control laws.",0.0,"Altamonte Springs, FL",0,1,0
This whole school walk out thing on guns is just pure none sense.,0.0,"Germantown, OH",0,1,0
@JJBUSC @TitusNation @scrowder Would you object to making it illegal to give guns to blind retarded children?,0.0,"North Carolina, USA",0,1,0
Msaaaaaaaan keep that cool-aide to yourself.... ,-2.0,"California, USA",0,0,1
"@AnitaCreamer @kylegriffin1 To Trump and his ilk, minions and camp followers, the second amendment trumps the First Amendment. Guns kill speech.",0.0,"Plum, PA",0,1,0
@TitusNation  I think this video goes a great job of discussing the debate by replacing guns with cats.,1.0,"Minnesota, USA",1,0,0
"Just because I own 2.5-acres of ALASKA land doesn't mean I have to load up on guns, ammo, MREs, and live out of a wall tent in Tazlina year round like some whacked-out ""Below Zero"" survivalist. Whites mock me with, ""Defend your nigger country!"" but fuck what these assholes think.",0.0,"Anchorage, AK",0,1,0
@barefootboomer @lwrci 2/ all of these are semi automatic (except 870) long guns. So what difference does knowing an AR15 make?,1.0,"Pennsylvania, USA",1,0,0
Fully agree kiddo!! Keep on fighting! ,0.0,"Hacienda Heights, CA",0,1,0
"@sw00shfortrump @KyleKashuv Because legislation like this, not just about guns, sometimes doesn’t.",-2.0,"Pascagoula, MS",0,0,1
If it is about safety in schools &amp; not gun control 1) gets to the real concern 2) opens up to solutions designed to solve the problem 3) starts a dialogue not a debate 4) puts politics last 5) puts children first,0.0,"Washington, DC",0,1,0
@krassenstein Exactly nothing will ever be done on guns and gun violence in the USA so we just wait til the next one. tick tock til the next lucky victims #GunDeathLottery,0.0,"Riverside, CA",0,1,0
@casey_erdman24 @DLoesch Don’t be mean to her She is very sensitive to criticism  Guns are okay when pointed at other people and said people die,0.0,"Queens, NY",0,1,0
"Yes because you must be a fertile woman to have an opinion on abortion, just like gun control advocates all own guns. Oh wait. ",1.0,"Georgia, USA",1,0,0
@PWainD If these guns keep killing people it won’t be long.,-2.0,"Arkansas, USA",0,0,1
What’s the problem with banning guns? Like I genuinely want to know and I want to know how that is more important than people’s lives? ,0.0,"Ceres, CA",0,1,0
".@realDonaldTrump once again shows us what caving to the NRA looks like. #NRAownsPOTUS lock, stock &amp; barrel. ",0.0,"New York, USA",0,1,0
@GovWalker Guess who is a donor to Scott Walker?  #BetsyDeVos,-2.0,"Michigan, USA",0,0,1
@tombrokaw @RichardLui Those kind of people care more about protecting their guns,0.0,"Los Angeles, CA",0,1,0
"How is advocating for safer schools so we don’t get fucking shot up attacking the 2nd amendment I’m pretty sure a “well regulated militia” does go around killing children. None of y’all little ass kids even own a gun, BYE. ",0.0,"Geneva, NY",0,1,0
😂😂😂😂😂 ,-2.0,"West Hattiesburg, MS",0,0,1
"I think the point of the @HurricaneHeist is to teach forgotten men and women (aka 🔴 neck) that #climatechange is real. Think about it, guns trucks alabama cash backwards trash. But pls don’t waste your $ n 🕐 on it tho.",-2.0,"South Carolina, USA",0,0,1
"@DLoesch From friend : ""This is hilarious. @DLoesch, Miss ""I'm = tough cause I have guns,"" who sold her soul to the @NRA, is 2 much of a snowflake to listen to my words. Ive had many discussions with her about how her unfailing support for all guns to anyone would backfire...what a wimp.",0.0,"Florida, USA",0,1,0
"@monicavereana @TitusNation But the guns are already there.   So what law could you pass that would fix that problem.  If no further gun sales or manufactured occurred, there would still be over 2 million AR15s in the US",1.0,"Altamonte Springs, FL",1,0,0
"@thefolksathome2 @davidhogg111 True. Guns don’t kill people, bullets kill people. #GUNviolence kills people. #EndGunViolence #GunControlNow",0.0,"Sawgrass, FL",0,1,0
Guns don’t kill sick people kill take guns from sick people getting sick cops is put a stop to that shit is make the cop Campbell what day do they need to be locked up when I ask you to marry me no gun no knife,0.0,"Bay Point, CA",0,1,0
@TIME Teachers don’t want guns.  We want curriculum.  #teaching #noguns,0.0,"Emeryville, CA",0,1,0
@sophia_widda_ph What really upsets me is most of these kids arguing for gun laws haven ever shot a gun. Let alone take the time to understand what it takes to own one.,1.0,"California, USA",1,0,0
"@jfleit @realDonaldTrump As @Potus bows to the @NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of #action against gun violence. #GunControlNow
.
",0.0,"Los Angeles, CA",0,1,0
@thewalkaways 👇🏻 ,-2.0,"Beekman, NY",0,0,1
"But driving is a privilege, it’s not a right. We have the right to bare arms cause we’re humans, and we have the right to defend ourselves. The 2nd amendment doesn’t give us the right to bare arms, it’s so the govt can’t make laws restricting our rights as people of the USA ",1.0,"Tennessee, USA",1,0,0
Trump fooled. The American people agean he thinks that he is a king.   And to me he is Hitler all over agen wake up america he is a grate deceiver a good lyera he neads to go hem and his gang puting guns in schools is the dumbest thing to do ,0.0,"Manchester, CT",0,1,0
Trump fooled. The American people agean he thinks that he is a king.   And to me he is Hitler all over agen wake up america he is a grate deceiver a good lyera he neads to go hem and his gang puting guns in schools is the dumbest thing to do ,0.0,"Manchester, CT",0,1,0
"The list, if correct, speaks volumes but the examples of Chicago and other bastions of gun control should be the reason to end gun control but enforce the current laws before making &amp; passing new laws. ",-2.0,"Missouri, USA",0,0,1
"@SenFeinstein You keep saying gun reform. .. it's gun control that we need,  but so far , Noone in congress is brave enough to draft a gun bill...... what is taking so long?   Waiting for the next  disaster",0.0,"Florida, USA",0,1,0
Magazine clips? Anti-gunners understand guns like toddlers understand where babies come from. ,1.0,"Alabama, USA",1,0,0
This is ten tons of a stupid tweet. I really get annoyed by how people throw our the word  hypocrisy. The be a has state chapters that advocate for gun rights and lobby for it ,-2.0,"Louisiana, USA",0,0,1
@morningmoneyben @kathygriffin Awwwhh - cut @BetsyDeVos a break ... she’s got all these schools that are going to now need firearms &amp; tactical training!She can’t be everywhere doing everything for crissakes!!! #NotMyPresident #GunReformNow,0.0,"Carmel, NY",0,1,0
#EnoughIsEnough =I don't wanna do my homework. Yes you have a voice. Guns will not go away because it is a right. Yes things need to change but you walking out ain't gonna do a thing.,1.0,"Nampa, ID",1,0,0
@bradaevans80 @SenSchumer @MrsTESS1 @WhiteHouse @NRA @SenateDems Guns in the olympics? That’s a controlled environment. I don’t have a problem with hunters. But nobody is hunting with a hand gun or an AR-15.,0.0,"New Iberia, LA",0,1,0
I’m 100x more done with this administration ,0.0,"West Covina, CA",0,1,0
"This is what the NRA is doing to our children. What is your definition of terror? Beyond shameful that America loves it’s guns more than kids having peaceful lives. 
#USFail 
#SaveUS 
#GunReformNow 
#CongressMustAct
#NRAIsATerroristOrganization ",0.0,"Athens, OH",0,1,0
"What he saying goes against the basic values of Christianity... I don't understand how you can be a preacher, and also be as revolting as a serpent... horrifying ",0.0,"New Orleans, LA",0,1,0
"@monicavereana @TitusNation I want all of that and more.  But unless you get rid of the guns  that are already in circulation, none of what you said above will stop the carnage.",1.0,"Altamonte Springs, FL",1,0,0
don’t forget to wear black tomorrow @ jhhs students to honor and remember those who lost their lives due to school shootings. #UPtoUS ,0.0,"Fontana, CA",0,1,0
@realDonalfTrump Seriously are we going to allow an organization Control our laws? ,0.0,"Tool, TX",0,1,0
Please share ,-2.0,"Grapevine, TX",0,0,1
This boy is dumb as a rock - he needs to understand what the 2nd admen is all about. All he wants is attention. Guns are not the problem people are. ,1.0,"Gallatin, TN",1,0,0
😂😂😂 - stahhpppp it. ,-2.0,"University, FL",0,0,1
@maurjoh15 @Joseforchange @gabino_58 @KyleKashuv And if u butt fuck libs cared about the school kids u wouldn’t parade them out for gun control!  Nice try though!,1.0,"Waterville, OH",1,0,0
"@cameraNbrush @jayyatesx @lexforchange Ugh. The kids advocating for gun control are being productive. Kyle can be opposed, but it doesn't make them counter productive. Word choice matters. You don't get to make substitutions for his word choice and its meaning.",0.0,"Los Angeles, CA",0,1,0
Lighten up Francis. ,-2.0,"Okmulgee, OK",0,0,1
@MhacklerTV gun control or no gun control?,-2.0,"Danville, IL",0,0,1
"@zimmy1998 @monicavereana @TitusNation Because, as you say “the guns are already there,” Cruz would have just found one lying in the street?",-2.0,"Ypsilanti, MI",0,0,1
Too many laws already!  That’s what got us here. ‘Gun free zones ‘. Biggest BS law ever passed. ,1.0,"California, USA",1,0,0
"Via @lesliebrody: “I wish there were no guns so people couldn’t suffer,” said 8-year-old Gabriel Chibane. “It doesn’t make sense. Why shouldn’t they have a longer life instead of just a short life?” ",0.0,"Ann Arbor, MI",0,1,0
"@davidhogg111 @lauren_hoggs this is what happens with kids today. School doesn’t teach history, geography, etc and people like the Hogg’s grow up dumb, ignorant and a product of their home environment. So sad! @FoxNews @CNN @MSNBC @DNC @GOP ",-2.0,"Lake Pocotopaug, CT",0,0,1
"@RVAwonk @pudderboy Someone needs to tell me when the Democrats ever wanted to repeal 2A. They just want sensible gun control.  Is that too hard for the GOP to understand?? Oh wait, yes it is ...",0.0,"North Port, FL",0,1,0
Somebody needs to tell Junior American psycho to slow down ,-2.0,"California, USA",0,0,1
Part of their useful idiot training. ,-2.0,"Waterbury, CT",0,0,1
"@dyllyp If only the ""we need guns to protect against tyranny"" argument could be used as a starting point for guns rights advocates to see where POC are coming from when they identify police abuse and institutionalised racism. But it's not really about tyr",0.0,"Oakland, CA",0,1,0
she’s ignorant. ,-2.0,"Chicago, IL",0,0,1
"""GuN cOnTrOl LaWs DoN't ChAnGe AnYtHiNg!!!! we have our riGHTS!!! I only love my guns anD MY TRUCK!!! here my reBEL YELL"" ",1.0,"Virginia, USA",1,0,0
"Knowledge is empowerment.

",-2.0,"Los Angeles, CA",0,0,1
Rub it in why don’t you 😬 ,-2.0,"Los Angeles, CA",0,0,1
Yes it would be if the narrative was to save One Life. However the real narrative is to disarm the Citizens. ,0.0,"Delray Beach, FL",0,1,0
@DAurora_ @NHamill4 @jq_campbell @@A_Suryakant ,-2.0,"Centreville, VA",0,0,1
@FLGovScott ⬇️how you know you’re DOING IT WRONG.⤵️⤵️⤵️⤵️⤵️ ,-2.0,"Benton, IL",0,0,1
"So frustrated w/“election coverage” in PA. @MSNBC reporter interviews voters who talk about #45s agenda. Doesn’t ask 1 follow up ? to get them to clarify what they want. More jobs, more infrastructure, no new gun laws, more racism, more misogyny? #MakePeopleOwnTheirOpinions",-2.0,"San Francisco, CA",0,0,1
"@prezcannady @gridiron_guru67 @KyleKashuv @NRA Is it worth pointing out that the NSSF ( is the firearms industry association and the NRA is a consumer advocacy group?  They have some overlapping concerns, but the #1 largest influencer of firearms sales is",-2.0,"Brooklyn, NY",0,0,1
@kron4news  The murderer was being treated for PTSD and was able to obtain guns @Raul_Labrador,0.0,"Boise, ID",0,1,0
Give up your Guns Schumer. ,0.0,"Delray Beach, FL",0,1,0
"""GuN cOnTrOl LaWs DoN't ChAnGe AnYtHiNg!!!! we have our riGHTS!!! I only love my guns anD MY TRUCK!!! hear my reBEL YELL"" ",1.0,"Virginia, USA",1,0,0
Aaaand the @PittsburghPG just endorsed this guy. I'm embarassed for us.  #Pittsburgh #Pennsylvania #Politics ,-2.0,"Pittsburgh, PA",0,0,1
"Sad but so true!
The beginning of the end for the American Dream if we just complain. We have to come forward with ideas that resonates with the American people. ",-2.0,"Culver City, CA",0,0,1
"@Lawrence Legal gun owners have rights, too. ",1.0,"Tustin, CA",1,0,0
@DearAuntCrabby That’s just an old and cheap sound bite.  No one has ever wanted nor suggested we take away guns you have!  Boring sound bite!,1.0,"Cathedral City, CA",1,0,0
2019* ,-2.0,"Kingsland, GA",0,0,1
Maybe this is the real reason the left hates the NRA. ,-2.0,"Waterbury, CT",0,0,1
@ChieroJoseph @OttoJRainer @EricPerry54 @NRA @GovMalloyOffice You will only be hurting the law abiding citizens do you think the hoodrats will give up their guns the criminals are the problem not the guns or law abiding citizens or the 2nd amendment or th,1.0,"Virginia, USA",1,0,0
@shannonrwatts Doesn't fit narrative veteran not getting proper care and even in my liberal state has access to guns,-2.0,"Pacifica, CA",0,0,1
"@realDonaldTrump Next you’ll be suggesting all doctors and nurses to carry guns, right?",0.0,"San Francisco, CA",0,1,0
Exactly. ,-2.0,"North Highlands, CA",0,0,1
Devastating and important. ,-2.0,"Tucson, AZ",0,0,1
@1nvisiblePink @DLoesch All this pablum about stricter gun laws. When are all you Kool-Aid drinkers going to work to protect children? We have 10K gun laws and none worked. What will more gun laws do?,1.0,"Manchester, NH",1,0,0
Where on the list is #abortion? Pretty sure those are preventable. #Adoption ,-2.0,"Vestavia Hills, AL",0,0,1
@AZEricka @DoctorShimapan @neontaster So it shows that somewhere short of 1/3 of those homicides are firearm-related. So obviously saying guns are the third most common cause is false. No one benefits by misstating statistics. The point can still be made ,1.0,"Oregon, USA",1,0,0
"@RepSwalwell @NRA As @realDonaldTrump bows to the #NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of action against gun violence. #NRABloodMoney
.
",0.0,"Los Angeles, CA",0,1,0
I thought her show got cancelled👍 why is she getting ANY attention? ,-2.0,"Washington, DC",0,0,1
All that's missing are swastikas and burning torches. America? ,0.0,"Baltimore, MD",0,1,0
This is a blatant attempt to diminish students’ rights to free speech and assembly. Rest assured that we will not be silenced and we will see you after we walk out to demand (not request) safety for ALL students in OUR schools. ,0.0,"Atlanta, GA",0,1,0
"I want to take your guns, re-educate all conservatives, force you to accept non-white + LGBTQ + immigrants as equal Americans, destroy fossil fuel energy sources, institute universal health care, and end all imperialistic military campaigns. ",0.0,"Annapolis, MD",0,1,0
And she wants to be a congressman... #dolt ,-2.0,"Danbury, CT",0,0,1
"What is the best option if a person slips through that system, hmmmmmm any ideas? I know! Eliminate military weapons from hands of civilians is more effective. I’ll listen to more of your ideas when you listen to the people you represent instead of the NRA. ",0.0,"Kyle, TX",0,1,0
