Tweet,For guns?,Location
@pakupng Guns are illegal in Chicago.  There shouldn't BE any gin violence there.  How's that working out for y'all? ,-2,"Missouri, USA"
"@King_Ishmaelll @Babe199X_ @_1dee @love_shabre @Bearded_Que people get upset when they're called out for fronting on Twitter &amp; then try to manipulate what they meant / change the subject . nahhh , stick to your guns big fella 😂",-2,"Beverly Hills, CA"
And not bc they were bullied. Bc they didn't see the importance of education. Stop using education as an excuse for loving guns and hobbies more than children. #NeverAgain,-2,"Parma, OH"
@SHAQ is right again. ,-2,"Waterloo, IA"
I will Not carry a gun in my classroom! #NNGO350 ,-2,"DeKalb, IL"
That is the way of the world today... Scary ,-2,"Queen Creek, AZ"
Hundreds of students poured out of Pleasantville High School Wednesday morning as part of the nationwide school walkout demanding stronger gun legislation while memorializing the victims in last month’s high school massacre. #NationalStudentWalkout  ,-2,"Croton-on-Hudson, NY"
"@musicsfun @scmgraphic @marinmaven @redwingschic @loisbeckett I love you guys, my Depends Stock just keeps going up and up... Every time you all start spewing your idiotic comments about there is going to be problems if they come for my guns... Keep stocking up and my stocks keep going up...",-2,"Lincoln, NE"
Getting type reckless till a murhafucka lockme up or guns me down,-2,"Hialeah, FL"
@LoriBlaney Root cause of shooting was due to BULLYING- so why the blame on guns?! These kids will be voting soon- more SLAVES for the Democrats.,-2,"Tillmans Corner, AL"
SB1036 [Engross] Criminal Procedure - Firearms - Transfer ,-2,"Annapolis, MD"
,-2,"Collegedale, TN"
"@nielekane @timothymstout @OwenBenjamin I got my safety course from the NRA. Been around guns all my life. Name a us war or conflict and I've had a member of my family been there lol I know that ""nonsense"" I spew doesn't fit what you're told. But 85+% of gun deaths are drug/gang related. And 97% of gun crime is pistol",-2,"Arkansas, USA"
"@NRA Work Together??? The @NRA has no intentions of ""working together"" because u want to arm all teachers &amp; school staff with guns to maximize gun manufacturers profits. #NationalWalkoutDay #NeverAgain #NationalSchoolWalkout #Trump",-2,"Grapevine, TX"
"@Ethan_randleas @mallorygraber What would you like to change policy wise concerning guns? That is something a candidate might talk about on Twitter, not arguing with teens",-2,"Wichita, KS"
"I wish white folks were this passionate about gun control when cops/white racist men shot all those unarmed black men , black women annnnnd black boys",-2,"Denver, CO"
So proud of these 13yo girls who started the South Junior High Young Activist Club here in Boise! They have been doing extraordinary things this year alone. 👊🏼♥️ #enough #NationalWalkoutDay idaho ,-2,"Boise, ID"
how is it some boots and some flip flops in the same pic ,-2,"Chicago, IL"
"I’ll be *your* number 1 with a bullet...

 ",-2,"Chicago, IL"
@joelpollak @debberhart He’s what a sap you are! But you thought Obama was going to come and take your guns! That rumor came from Faux News! You never heard him say any such thing!,-2,"Texas, USA"
"As a fellow student of mine said so eloquently today, gun control transcends politics. It’s no longer a matter of lobbying, party or even the constitution. This is a matter of survival. I ask you America, what is a human life worth to you? #NeverAgain #NationalSchoolWalkout",-2,"Philadelphia, PA"
"""Girl's clothing is more regulated than guns in America""… ",-2,"El Cajon, CA"
a leader ❤️ ,-2,"New Orleans, LA"
"@latimes Quit using automatic pistols six shooters are the safest guns for people not into guns
if our police still used 357pistols instead of automaticsthere would be less shootings. So u would have time to think and the crook would have time to think because of the hammer clock noise",-2,"Alabama, USA"
"@SenFeinstein Hopefully congress listened to these kids today and took it to heart. If you don't ban those guns , the kids will vote you out",-2,"Florida, USA"
"@realDonaldTrump Listen Mr. Trump. Nobody buys what you say anymore. Doesn't matter evenif you go campaign for republican candidates in the deep red areas/state, they'll lose.
Now, do these:
-Ban all semiautomatic assault rifles
-Increase age limit from 18 to 25 (not 21) to buy guns
-Abandon NRA",-2,"Pullman, WA"
The protesting naive students should not be able to determine if guns are banned or not. Since when do students determined the matters of adult us citizens. The professors that are encouraging these gullible students to go into the streets should be arrested for treason. Gullible,-2,"Santa Paula, CA"
Why are you listening to this wannabe Fu-Schnicken? ,-2,"Los Angeles, CA"
"@ForParkland everyone who wanted better gun control actually joined the NRA and changed that organization from the inside out, maybe that roadblock would be removed...just a suggestion! #NeverAgainMSD",-2,"Waterford, CT"
Wow who would've thought guns in classrooms were a bad idea ,-2,"Davie, FL"
EXACTLY! ,-2,"Everett, WA"
"@Pr0ud2bAmerican @DanMcMonigle1 @SpartyBeck2 @Thedarkamerica @bbk2228 @pr0650 @Dirty_Diaz1965 @KimLeadford @davidhogg111 Humans are the core of the problem... mental health, and availability if firearms, safety at schools, bullying, terrorism....... and more are extensions of the problem. It's not JUST anything.",-2,"Oregon, USA"
@SenDeanHeller Protect the 2d Amendment Senator! No gun control. Support our Constitution AND our President! ,-2,"Henderson, NV"
Hey Trump did you see the record crowd on the mall today—More than your inauguration-they want gun safety laws now!!!#DonaldJTrump,-2,"Pompano Beach, FL"
@VildyViix @mom4mj @ArtBurleson @pjrocks @Vote_Blue_2018 @NRA And I’m not ok with kids being unprotected. I just think more guns is going to the extreme.,-2,"Oswego, IL"
"My school is not a shooting range, these government politicians are deranged. 18 shootings so far this year, And Trump is tweeting about having no fear. 🔫🔫🔫#schoolwut #Riseup #futureisnow #guncontrol #readbetweenthelines",-2,"Los Angeles, CA"
"Very proud of my high school today! Seeing you guys stand in solidarity for stricter gun laws in our nation is INSPIRING! Keep it up @cata_monroe , much love❤️",-2,"Boston, MA"
"Very proud of my high school today! Seeing you guys stand in solidarity for stricter gun laws in our nation is INSPIRING! Keep it up @cata_monroe , much love❤️",-2,"Boston, MA"
#proud #WalkoutWednesday #Marchforourlives @UW #EnoughIsEnough ,-2,"Seattle, WA"
@Crypto_Friendly @goofyfootkev @NBCNews Lol so guns dont kill people but cars do? And hammers? And knifes? Love your logic!!,-2,"South Bend, IN"
This take is about as wretched as his free throw shooting was. ,-2,"Murfreesboro, TN"
+++ @davidhogg111 wins the title #Galactic-FumbDuck of 2018 for actually hanging up ☎️ on @realDonaldTrump He really cares about his #fallenfriends so he pissed away a true chance to make a difference and speak to #POTUS45 about gun laws. 🤦‍♂️,-2,"McLean, VA"
SHC Students gathered today to bring attention to the lack of gun control &amp; large number of shootings in the US. Hoping we continue to build &amp; this generation feels empowered to effect change. ,-2,"San Francisco, CA"
This is coming from someone who doesn’t pay taxes............ ,-2,"Michigan, USA"
This is real cool 🌏🌏 ,-2,"Manhattan, NY"
"Maybe it's ironic that on  #NationalWalkoutDay the school I teach at goes on lockdown because of a gun at school. However, this is the norm now a days. 3 guns to school in the 9 weeks I've been there. When is enough, finally enough?",-2,"Oklahoma City, OK"
"""This is not just about gun control. This isn't about getting out of class. We will not stop until we are heard."" #nationalwalkoutday #EducationNotCriminalization ",-2,"Chicago, IL"
"Again, sometimes we learn the hard way, what is the right way. There is always the wiser way. ",-2,"Pleasant Hill, CA"
No offense but you are an idiot. ,-2,"San Francisco, CA"
"@ForParkland @sandyhook If everyone who wanted better gun control actually joined the NRA and changed that organization from the inside out, maybe that roadblock would be removed...just a thought... #NeverAgainMSD",-2,"Waterford, CT"
"@musicsfun @loisbeckett Kind of when you fell for the Alt-rights propaganda and then was stupid enough to vote for Trump? And now you have to defend your Malignant, Narcissistic, Fascist Leader? Who is going to come for your guns, he don't want an armed population.",-2,"Lincoln, NE"
"“This is not just about gun control!”

Chicago student calls out policies that impoverish schools &amp; the community that are at the root of violence, as kids occupy City Hall

#NationalWalkoutDay #EducationNotCriminalization #FundOurSchools #EducateUsNotIncarcerateUs #NoCopAcademy ",-2,"Chicago, IL"
"You can tell I’m the black sheep of the family because my brother was excited that Colorado passed a law where it’s easier to get guns and mom said “well hell syd if you can get past that move with him, legal pot”",-2,"Metropolis, IL"
"@AndyRichter @quinncy Their activism will have a deep effect on our world - more compassion, more understanding, more love, less guns and violence.",-2,"Burbank, CA"
K ,-2,"Bossier City, LA"
Yah you a whole dumb ass bitch ,-2,"Costa Mesa, CA"
@MontanaJustinL @TwitterMoments And putting more guns in our schools is a ridiculous and barbaric answer to a problem the ENTIRE CIVILIZED WORLD has already solved.,-2,"Georgia, USA"
Wow imagine not knowing that there are more laws against drinking and driving than there are for owning assault riffles ,-2,"Mission Viejo, CA"
"@michaelianblack Maybe we could get someone to do this in a cabinet meeting - oh, wait - they DON’T ALLOW GUNS IN CABINET MEETINGS!!! - or AT NRA CONVENTIONS!!! Fricking hypocrite assholes!!!",-2,"Fresno, CA"
If you’re wondering what we’ve done by walking out of school today — just know every news channel (local &amp; CNN) has the #NationalWalkoutDay stories on their front pages. We are keeping inexcusable school shootings in the headlines and we are making sure everyone hears our voices.,-2,"Brunswick, OH"
"My school is not a shooting range, these government politicians are deranged. 18 shootings so far this year, And Trump is tweeting about having no fear. 🔫🔫🔫#NRABloodMoney #nationalwalkout #BoycottTheNRA",-2,"Los Angeles, CA"
@realDonaldTrump Make firearms less accessible FFS.,-2,"San Francisco, CA"
"@abblucia along with “kids are being shot to death in school &amp; are getting bombed in war torn countries” this will get me heated. it’s not the weapon that causes the shooting, it’s the person. instead of saying ‘#GunContolNow ‘ make a difference &amp; help the people that cause the shootings.",-2,"Michigan, USA"
"@MontanaJustinL @TwitterMoments But it comes down to what the people want. If the people want gun control, that’s what we should get. If you don’t like it, move. I can assure you I will if morons in congress decide we need to arm teachers.",-2,"Georgia, USA"
@KDVR The teacher was a reserve policeman?  Perhaps this isn’t political at all and it’s just a bad idea to have guns in school.,-2,"Greenwood Village, CO"
@NCMattJ @RealAnthonyDal @realDonaldTrump Leave kid alone. If you hate our gun laws you can move to another country,-2,"Glenarden, MD"
so are nerf guns on sale then? ,-2,"Schenectady, NY"
@RepPaulTonko This is fake.....makes it seem like all of these are from school shootings.,-2,"Milwaukee, WI"
"Can someone explain to me why teachers having guns to potentially protect threats is a good idea, when a California teacher has already injured a student because the gun went off accidentally? HOW ARE THEY SUPPOSED TO ACTUALLY PROTECT IF THEY DONT EVEN KNOW HOW TO USE A GUN?",-2,"West Lake Stevens, WA"
@thehill Do your job &amp; mention Sanders’ record on guns: Voted against the Brady Bill 5xbVoted to protect gunmakers &amp; sellers from being sued Voted to allow guns on Amtrak,-2,"Manhattan, NY"
"Additionally, they should not be given they responsibility. How about we take care of problem at the root? We need more gun control. If you’re a law abiding citizen, you should have no problems with getting guns out of the hands of people who will do harm.",-2,"West Lake Stevens, WA"
I support all the students who are walking out of schools today in protest of needing better gun control. #NationalStudentWalkout,-2,"West Lake Stevens, WA"
this is for the individuals who had the audacity to turn our schools experience of walk out day into a pro/anti gun dispute. thank you for disrupting our attempt to honor and remember all the lives lost to school shootings/gun violence. i took these images at msd. NEVER forget. ,-2,Marjory Stoneman Douglas High School
Idiot. ,-2,"Los Angeles, CA"
@KyleKashuv @SecretaryCarson Shooting wasn’t the cause- it was BULLYING! What do guns have to with that? Look to punish BULLIES- the guns didn’t do it.,-2,"Tillmans Corner, AL"
"@DLoesch AND THAT’S THE RUSSIAN FUNDED NRA’s FAULT! YOU LOBBIED FOR THE LAWS THAT PROTECT CRIMINALS WITH GUNS. Blind people, rapist, Terrorists... the list goes on. Arming America with assault weapons did this! That’s the fucking TRUTH!",-2,"Bend, OR"
Bro we was playin with nerf guns at the beach.  Cali got shot and said “ouuuuuu shit” rubbing her chest ... I’ve never laughed so hard in my life 😂😭,-2,Lake Worth Beach & Casino
!!!this is super important!! (also it was great to be able to participate in the #NationalStudentWalkout and have a moment of silence for those 17 people that lost their lives) ,-2,"Union Beach, NJ"
"@Dano_1985 @1234flyingninja @AG_Conservative I disagree with all that! Registration leads to confiscation. All you would be doing is criminalizing law abiding citizens, cause I’m not gonna register my guns, and creating a huge black market.",-2,"Holly Springs, MS"
When were conservative lives ever in danger lol ,-2,"Las Vegas, NV"
This pic needs a photoshop and the dog given the Thug life treatment. ,-2,"Pennsylvania, USA"
Ain’t nothing wrong with guns. Guns don’t kill people. People kill people #ProtectThe2nd ,-2,"Campbelltown, PA"
....... ,-2,"Muncie, IN"
@thehill oh so you ARE for stricter background checks on guns? and NOT for repealing ACA? and agree that the gop tax scam is. a. SCAM? @WhiteHouse,-2,"Manhattan, NY"
"So shocked today by the amazing outcome in such a short notice and we will continue this movement for strict gun laws.Never been more proud being a tomcat‼️A special s/o to these people below,this wouldn’t have been possible w/o you guys❤️#NeverAgainMSD #NationalSchoolWalkout ",-2,East Aurora High School
@vodkasnowflake @JmJmvincent @MezAraya Because it was a generic statement I didn't intend to defend - just like she's a shitty prosecutor - to reflect the fact that Bernie has a bad record on guns. Which he does.,-2,"Bethesda, MD"
@WhoIsFateAgain @thecolonelmc @NRA Did I say ban guns? Don’t think I did. But why does your precious NRA oppose extensive background checks? All of those shooters obtained guns LEGALLY and SHOYLD NOT have had a gun!,-2,"Huntersville, NC"
Witnessed amazing young civic leaders at #ps158 elem. standing up for safer schools &amp;gun control this morning. Were marching around school after meeting up w/other student activists @ #johnjaypark #neveragain #yorkville @BenKallos #NationalWalkoutDay nyc @BrianLehrer @NYCSchools ,-2,PS 158
"I might be a working professional now, but I stand with every student today taking part in #NationalWalkoutDay advocating for stricter gun laws. #EnoughIsEnough #IAmWithYou",-2,"Manhattan, NY"
"This would never have happened if the kids also had guns to stop the teacher’s guns which are used to stop the kids with guns
🤦🏼‍♂️ ",-2,"Dallas, TX"
@GOP @POTUS In other words you are not doing anything. Once again you and the GOP will continue to let the NRA to continue to sell guns that will kill children and citizens. You are worthless. Obama is smarter and a better president.,-2,"Austin, TX"
"Are the kids that did the walkout today to push for gun control brave?
#nycsobercoach",-2,"Brooklyn, NY"
@PutnamIvet @JaclynCorin Just left the NRA a comment abt THEIR stupid comment abt how “they will control their own guns”. Most absurd statement yet from them.,-2,"McMinnville, TN"
"@NRA I will control my own guns, thank you #walkupnotout #WalkoutWednesday",-2,"Ashland, VA"
"@timelywriter @AP A conservative Dem that would never win a Democratic primary won a district by not turning on Trump, turning on Pelosi and embracing guns, energy &amp; bipartisanship. #PA18",-2,"Pennsylvania, USA"
@PutnamIvet @JaclynCorin Just left the NRA a comment abt THEIR stupid comment abt how “they will control their own guns”. Most absurd statement yet from them.,-2,"McMinnville, TN"
"@WHAM1180 and @WSYRNews, Do you think it's becoming that one of your employees wishes harm for children exercising their 1st Amendment rights? ",-2,"Jamestown, NY"
"Hmmmmm... he can vote, he has the freedom of speech... he’s allowed in government buildings... as far as I can tell it sounds like he just doesn’t know his own rights. ",-2,"Flagstaff, AZ"
"if u did the school walk out to show respect to the 17 kids, cool that’s fine. 

if u thought somehow this was gonna help protest gun control, ur wrong.",-2,"Utah, USA"
"What in the actual hell? It, literally, would have been better to say nothing during the protests from STUDENTS. ",-2,"Staten Island, NY"
"underage drinking kills far more, FAR MORE kids than guns. there will be no march for that.

no “separate issue” crap, this is political motivated to be anti 2nd amendment. and it’s awful.",-2,"Indianapolis, IN"
@WXII Why no interview with Pro 2nd Amendment Students holding a rally at same time as Gun Control rally at FB Stadium @ Elkin High today? You interviewed Gun Control Participants. Both sides need to be heard. That's real Journalism!,-2,"Clemmons, NC"
@YandisaMatsots3 @realDonaldTrump Obama is done moron. He didn’t do anything about school shootings. Move on.,-2,"Michigan, USA"
@SpeakerRyan Then ban assault rifles and raise the age to buy guns! You are a spineless wimp and will be the next to feel the #BlueWave #TrumpColluded #NeverAgain,-2,"Arlington, TX"
"@realDonaldTrump Outlaw the nra 
No guns in school 
New gun laws to keep not just schools safe but all us citizens !",-2,"Rosemont, IL"
@APendletonP @NRA Been a lifetime member since I was 10 yrs old. I can agree with no bump stocks as to banning a legal firearm is just the first step towards disarming our country. There are also other avenues to commit mass killings other than guns.,-2,"Beaumont, TX"
"Skyline student, Andrea Mendez, majoring in Journalism shared her thoughts on gun control and its significance.
#skylinejour ",-2,"Pacifica, CA"
The culture of youth. Their daily environment alone time with both parents working video games XXX rated Hollywood Stars &amp; Sports celebrities comics rappers about violence &amp; killing all have replaced parenting &amp; Fathers know best. Don’t rule out drugs! ,-2,"Florida, USA"
"My school is not a shooting range, these government politicians are deranged. 18 shootings so far this year, And Trump is tweeting about having no fear. 🔫🔫🔫#NationalWalkoutDay California #NRABloodMoney #BoycottTheNRA #Enough #gradesupgunsdown",-2,Alexander Hamilton High School
This is 100% correct..... ,-2,"Tennessee, USA"
✊🏾✊🏾 KIDS R THE FUTURE ,-2,"Medford, MA"
@amandaaxxbear @CoggieB How dare someone inconvenience her toddlers. They have another whole year or two before they have to worry about school shootings!,-2,"Queens, NY"
"@mp41yfe1 @cambreedawn Wtf are u even talking about? okay in one sentence rn, tell me how is walking out of school gonna put any kind of strain on the government to make new gun laws? 😂",-2,"Utah, USA"
@WhiteRabbit2u @cyberboles @KyleKashuv @SecretaryCarson Hey dumbass- the kid is a SLAVE of democrats. The gun didn’t do a damn thing- the cause was BULLYING. Why not look at those laws? Pull you head out of your ass and call it what it is- BULLYING CAUSED ALL OF THIS.,-2,"Tillmans Corner, AL"
"since the “ignorant” kids who didn’t participate in the walkout only heard that schools were meant for education not fear, can someone please explain how they are going to be “socially active” and give specific examples of how they are going to fight for better gun control?",-2,"Shippensburg, PA"
"On this #NationalWalkoutDay, support for Gun Control isn’t as high as Pollsters want you to think. Issues w/top 3 Polls. My newest @TheHill 
 @ChrisCoxNRA @NRAILA @NRA @lkeane @GunOwners @GunOwnersCA @KyleKashuv #2ADefenders #2AShallNotBeInfringed #2A",-2,"Manhattan, NY"
"@Cher..new version of bang bang..mass killings..bang bang..watching your best friend fall to the ground, dead..bang bang..they shot them down. Rep's want people to keep high powered guns..bang bang..someday the guns will get someone you love, too.#BangBang",-2,"Portland, OR"
#PortsmouthNH Student Protest for Gun Control. #NationalStudentWalkout @seacoastonline  ,-2,"Portsmouth, NH"
@DrewPeacock22 Dont ban guns! They will build bombs! Ban knives!,-2,"New York, USA"
"oh no, honey, we are not about to sympathize with the people who are pro gun violence. especially on a day mourning REAL victims. ",-2,"Chicago, IL"
@FoxNews @TheFive please tell Jessie Waters to stop giving out bad information regarding guns. We need our pro 2nd amendment people to give out accurate information.,-2,"Holly Springs, MS"
@On_The_Hook @MAGA__Chuck No one wants to take guns away. They want decisions made my politicians to be done based on ethical standards and not because they get paid millions by the gun lobby. I don’t want bought politicians.,-2,"Oswego, IL"
"If they’re as intimidating as Shaq, I back it ",-2,"Orange, CA"
Wow... ,-2,"Brooklyn, NY"
@TalbertSwan @shannonrwatts How about the bullet manufacturers? Where do they hang out? Without bullets guns are just decoration for fantasists. #Gunprotest,-2,"Indio, CA"
"@RobProvince Silly kids. If that jackwagon had brought his guns to the WH, he'd be dead now &amp; everyone inside would be alive. We should treat schools the same way.",-2,"Denver, CO"
Our gun problem is not just in schools; we need policy gun reform! @Shaq. #NationalSchoolWalkout #NeverAgain ,-2,"Washington, DC"
Lol there was a cop at Parkland who shit his pants and ran outside. #1312 ,-2,"Valparaiso, IN"
@musicsfun @marinmaven @redwingschic @loisbeckett We’re in the control of a regime and defenseless now. Guns actually will not help us overthrow a tyrant. Logistically that is simply not going to happen.,-2,"Richmond Heights, MO"
"@cher @Cher..new version of bang bang..mass killings..bang bang..watching your best friend fall to the ground, dead..bang bang..they shot them down. Rep's want people to keep high powered guns..bang bang..someday the guns will get someone you love, too.#BangBang",-2,"Portland, OR"
Ugh ,-2,"Denver, CO"
"See ya there, Marty. #NotOneMore ",-2,"Billerica, MA"
"Students across U.S. protest 'inaction' on guns with school walkout  via @nbcnews This is the Stupidest thing I heard,Since when do Children March and all the Rest.Are there NO Adults in these Homes
What happens  to Corporal Punishment
InTheHOME",-2,"Porterville, CA"
"#huskiefamily in solitude with parkland and also to make a statement,
protect your kids not your guns ",-2,"Reno, NV"
@FoxNews @CNN @DRUDGE_REPORT What do your bodyguards carrier around squirt guns are ,-2,"Newton, MA"
"Anyone who would believe you can buy a “legal” gun without ID &amp; BG ckis stupid stupid and stupid BUT no ID to buy illegal guns it’s why gun laws only stop law biding citizens - CNN Host Pushes False Story on Buying AR-15 Without ID, BUSTED Lying About It: ",-2,"North Carolina, USA"
@alec_hood @SpencerGreene23 @CaelynPfarr @NewsomMichael @JD_Rabelos @K_I_K_I19 @BenBen_Hopkins Guns********,-2,"Marysville, WA"
@dbongino How do we go about get their securities guns pulled for a few weeks and see how they like it,-2,"Lebanon, IN"
All these kids protesting for no guns are probably still woken up by their parents..,-2,"Santa Clarita, CA"
"Shotout all the students walking out today trying to keep guns out the schools...

✊🏿✊🏿✊🏿✊🏿",-2,"San Pablo, CA"
Wow. ,-2,"Austin, TX"
"It’s beyond incredible to see the growth of this movement. After this day is over we must not forget, we must keep marching forward with this momentum. This is more than just guns, it’s about making each student feel safe &amp; secure in their school and with their peers #NeverAgain",-2,"Mentor-on-the-Lake, OH"
"I’m sick of being scared to do the things that make life fun. Concerts, parades, nightclubs, getting an education?

Fuck guns, fuck the people who use them with ill intentions and fuck the lawmakers who refuse to listen.",-2,"Los Angeles, CA"
"@wemattertoo18 CIVIC EDUCATION: STUDENT ENGAGEMENT 
Students propose 3 specific gun control solutions.” …  #ArmMeWith #suptchat EnoughIsEnough #NeverAgainIsNow #GunLawsNOW #Voto2018 #votolatino #education #NeverAgain poster #never again #neveragain ",-2,"San Diego, CA"
"“Angry guns preach a gospel full of hate, blood of the innocent on their hands.” Today, thousands of students walked out of their school for 17 minutes in remembrance of the 17 innocent lives lost to gun violence in Parkland. Things need to change. We are the future. #neveragain ",-2,"Vestal, NY"
Wow...America is really something else. ,-2,"Danbury, CT"
@News3LV More children are victims of obesity than Firearms. Stand up for health and mental fitness. Let’s talk about the reality of what’s attacking children and adults. ,-2,"Henderson, NV"
Only solution is to give the students guns to protect them from the teachers ,-2,"Portland, OR"
"@tikatikitavi CIVIC EDUCATION: STUDENT ENGAGEMENT 
Students propose 3 specific gun control solutions.” …  #ArmMeWith #suptchat EnoughIsEnough #NeverAgainIsNow #GunLawsNOW #Voto2018 #votolatino #education #NeverAgain poster #never again #neveragain ",-2,"San Diego, CA"
@realDonaldTrump @realDonaldTrump what did you think about that teacher who shot a kid teaching gun safety. More of that to come under your plan. Teachers and students are coming up with brilliant plans that have nothing to do with guns. You should listen.,-2,"Dallas, TX"
"@TimothyKenison @marcorubio CIVIC EDUCATION: STUDENT ENGAGEMENT 
Students propose 3 specific gun control solutions.” …  #ArmMeWith #suptchat EnoughIsEnough #NeverAgainIsNow #GunLawsNOW #Voto2018 #votolatino #education #NeverAgain poster #never again #neveragain ",-2,"San Diego, CA"
"@Slate The NRA sounds like they believe mass murderers have the right to choose to shoot people since they control their own guns.

Really sick bastards.",-2,"Palo Alto, CA"
That’s my Captain :’) ,-2,"Visalia, CA"
"I hate that every single gun control debate ends up with ""but that's not an AR-15"" or ""not a assault rifle.""

I don't want the thing that goes pew pew fast to kill more kids.  

There.",-2,"Enterprise, NV"
"@JmJmvincent @vodkasnowflake @MezAraya Ugh. You can say she's a shitty prosecutor, I should have said he has a shitty record on guns, instead of provoking an army of sea lions. Fair enough?",-2,"Bethesda, MD"
"@TrinityResists @SabineResists @Minervasbard @TheSWPrincess @WheresMyCovfefe @drbashir2018 @NatCookResists @debbiesideris @DeadpoolResists @tizzywoman @lfkraus CIVIC EDUCATION: STUDENT ENGAGEMENT 
Students propose 3 specific gun control solutions.” …  #ArmMeWith #suptchat EnoughIsEnough #NeverAgainIsNow #GunLawsNOW #Voto2018 #votolatino #education #NeverAgain poster #never again #neveragain ",-2,"San Diego, CA"
Stricter gun laws in NYC? ,-2,"South Miami, FL"
@realDonaldTrump BAN ASSAULT WEAPONS THROUGH CONGRESSIONAL LEGISLATION AT YOUR BEQUEST.The 2nd amendment calls for a well-regulated militia which means the federal gov't can BAN/RESTRICT guns if they choose.I'm not against guns for personal protection or hunting. @POTUS @VP @WhiteHouse @CNN @NBC,-2,"South Carolina, USA"
SINCE!!!!! Sandy Hook. Shameful and tragic. ,-2,"Indiana, USA"
"@ayeee_sherlyn_ CIVIC EDUCATION: STUDENT ENGAGEMENT 
Students propose 3 specific gun control solutions.” …  #ArmMeWith #suptchat EnoughIsEnough #NeverAgainIsNow #GunLawsNOW #Voto2018 #votolatino #education #NeverAgain poster #never again #neveragain ",-2,"San Diego, CA"
the purpose of the walkout was not to solve the problem today. It was to raise awareness across the nation about the innocent lives lost in Florida due to a lack of common sense gun laws,-2,"Indiana, USA"
@MomCourager @KyleKashuv @SecretaryCarson The kid is a slave to democrats who are lying. The gun wasn’t the problem. The problems was BULLYING. Why not look at those laws?!,-2,"Tillmans Corner, AL"
"Easy solutions to prevent gun threat pranks:

1. Gun Control",-2,"Evanston, IL"
"@APendletonP @NRA The NRA is one of the oldest organizations committed to protecting our rights. It is sad that technology ends up in the wrong hands.Evil will do evil things whether it is with guns,explosives,cars etc...",-2,"Beaumont, TX"
"@powertobeheard @MackBoulder CIVIC EDUCATION: STUDENT ENGAGEMENT 
Students propose 3 specific gun control solutions.” …  #ArmMeWith #suptchat EnoughIsEnough #NeverAgainIsNow #GunLawsNOW #Voto2018 #votolatino #education #NeverAgain poster #never again #neveragain ",-2,"San Diego, CA"
"Give everyone guns 🙄
Like they do in that one European country
@ItsBeazy908 @illdominicano
It'll surely show you.....don't shoot at my family and loved ones coz I'll shoot all your family members. ",-2,"SoHo, Manhattan"
