Tweet,For guns?,Location
"@lauren_hoggs @davidhogg111 Aww, look at that - arm bands just like the Hitler youth. Interesting fact - Hitler used children to take guns out of the #German #Citizens #Hands. ",-2,"San Diego, CA"
"@BernieSanders Fight back Arizona lead our country never to give up our guns. Bernie Sanders told us fight, fight and fight harder.",-2,"Wayne, NJ"
@realDonaldTrump  You can not take away the gun rights of a 18 year old!! If you can get your ass shot off in the military you can damn sure buy a gun. Please reconsider. It’s a mental health issue not age.,-2,"Manassas, VA"
"@thelongversion @GotchYaSon @BuzzFeedNews B U L L S H I T.

The NRA is the main reason there are over 300 million firearms in the US.  Without their PROPAGANDA of creating nonexistent BOGEYMEN there would probably be less than 100 million firearms in circulation and countless Americans still living today.",-2,"Marlboro, NJ"
"@realMatMolina How TN conservatives seem to interpret this platform:
•War on Christianity
•War on heterosexuality
•Reverse racism
•Babies should only die after birth &amp; only if their parents are poor
•MOAR GUNS!!!
•You socialist commie pinko marxist moron!",-2,"Tennessee, USA"
u kno what else stops a beating heart? gUnS 🙃 ,-2,"Sacramento, CA"
What ,-2,"Austin, TX"
Army Infantry soldier/Veteran. I support your rights and opinions. ,-2,"Olathe, KS"
35 teachers in my district just lost their jobs due to lack of state funding. Can’t wait to see if Illinois finds money for guns guns guns. ,-2,"Yorkville, IL"
Someone should check on Ross and make sure he's OK. ,-2,"San Marino, CA"
Sali Hughes &amp; Jo Jones | Beauty Banks  ,-2,"Manhattan, NY"
"LOL a protest while everyone is at work, at 10 in the morning, outside @SenToomey ’s office demanding all semi auto firearms be banned, including all pistols.

Can think of a billion things more productive to do with my time. @ChrisLoesch @DLoesch ",-2,"Fishtown, Philadelphia"
"Last time I checked my PTSD doesn’t make me someone who has an uncontrollable urge to create hostage situations and murder people but ¯\_(ツ)_/¯ 
We need gun control but need to stop saying that all mentally ill people are natural monsters ",-2,"Boston, MA"
"@RealJamesWoods It would be CIVIL WAR. The dems think that they could get rid of President Trump,
By impeachment.  75 million mad patriots with Guns, leaves a mark. Only 3% of the population fought in the Revolution vs England.  Just try to remove him. They will regret it.",-2,"Lakewood, CO"
"@reviewjournal I assume the guns were not registered or possibly stolen?  But not enough info, on a major talking point here by @reviewjournal There’s obviously more to the story.",-2,"Las Vegas, NV"
@elephanthound I worked with mentally ill adults. Gun laws are desperately needed. Start with all the mentally ill Trumps...,-2,"Chicago, IL"
"@rakurai_network Smash had snake who guns people down, smoked cigs and other things but goku doesn’t fit smash?",-2,"Kendall West, FL"
"Can anyone be more ignorant of facts and reality? Don't think so. When you see the world through a black-victimhood prism, you embarrass yourself thinking anyone will take you seriously. ",-2,"Los Angeles, CA"
The wisdom of youth. ,-2,"Portland, OR"
@EastCincyMom @cameraNbrush @LoveEachother14 @JoeDodd16 @DLoesch Surprise Suprise. Even when I can show you a place in America under current gun laws where the exact opposite of your arguments occurs &amp; you still don't like it.,-2,"Sacramento, CA"
"@JamesDoss50 @Thomas1774Paine @Chadwick_Moore @GerberKawasaki Shut it Joseph Goebbels! Who exactly is “we” when describing your anti-American tactics? You should worry about your own business; those of us who strive to MAGA can spot weak, worthless p*ssies like you a mile away! ",-2,"Neptune Beach, FL"
"@DailyMail That means we expect 2have murder rate escalating in that state, since it seems that everyone has guns:media should keep their eyes wide open! Perhaps stake out for breaking news @CNN @cvpayne @HARRISFAULKNER @ABC @AndrewCMcCarthy @AnnCoulter @mitchellreports @chucktodd @politico",-2,"Manville, NJ"
@vs_cointelpro Also to go protest out of school for gun control. One word: Idiot!,-2,"Utah, USA"
@MervynRandall @TheAliceSmith And foreigners are constantly telling us ugly Americans to get rid of our firearms. Nope...,-2,"Islip, NY"
"Swords In a gunfight ain’t so bad, so I feel as though this movie might have been the biggest inspiration for Austin powers ",-2,"Chicago, IL"
"Didn't @realDonaldTrump promise to take swift ACTION to enact new gun safety laws? Hoping this will be honored soon - - great to see him spending time on ""related"" items such as the impact of video games on violence lol Sounds like something @DLoesch would suggest #NeverAgain ",-2,"Delray Beach, FL"
"Want to have your say on gun control, legalizing marijuana, or the opioid crisis? They're all on… ",-2,"Chicago, IL"
@Krys @SheAteTheBone I just want Phos double guns with smashed up arms dangit,-2,"Little Falls, NJ"
@ays66683 @Alyssa_Milano There was an armed officer at the Florida school so having an armed officer wasn’t the answer when someone has an assault rifle. So it wasn’t a gun free zone. The answer is a gun problem is not more guns but limiting the type and number of guns of there.,-2,"Merrick, NY"
Lamb opposes a min wage increase &amp; is pro-guns. I hope he loses. ,-2,"Darby, PA"
Oh.  I can tell your afraid of losing your guns.  May I suggest you shove them up your ass.  Keep yourself n the NRA in check.   Your a fool to try to comfort someone who’s lost a child ,-2,"Baltimore, MD"
Gotta run to toys r us to take advantage of the closing down deals they have and cop all the nerf guns my parents would never buy me as a kid,-2,"South El Monte, CA"
Guns. ,-2,"Baltimore, MD"
@SecretaryZinke corrupt as the day is long. Hope the door whacks the bejesus out of you - you know that thing you cling to when it's convenient. Like your guns &amp; the Bible... ,-2,"Boca Raton, FL"
"All 2017 everybody make false accusations, radio personalities starting unnecessary wars people commenting and switching up on @NICKIMINAJ  so in 2018 I’m fully blasting guns blazing 🔫 Nicki will remain The best to do this rap shit and y’all will bow 🙇‍♀️ 👑 with respect ",-2,"New Hudson, MI"
"I think anyone that abuses an animal should get the same sentence they would get for abusing a child. I am so angry that so many get a slap on the hand for this. Can you imagine what that poor little Yorkie went through, and the fear it must have felt😘. ",-2,"Moriches, NY"
@TIME Playing with guns are fun! Dumb parents!,-2,"Danville, CA"
@Mr_Que_ Because THAT doesn’t work! Your idea is exactly for what the @NRA is hoping! We need to #organise #March4OurLives #RegisterToVote #VoteThemOut Then there’d be time for Ice Cream when Americans are safe from guns. @cameron_kasky @davidhogg111 @AMarch4OurLives #StrongerTogether,-2,"Connecticut, USA"
#flipthe7th ,-2,"Virginia, USA"
@EmilyDamiano91 Pro gun control!  Not anti-gun!,-2,"Carlisle, PA"
"Nevada County's Indivisible Women listening to Amanda Wilcox talk about the loss of her daughter to gun violence in 2001. On average, 96 people per day are lost to gun violence in America. We need common sense gun safety laws. We need elected officials who care about this issue. ",-2,"Grass Valley, CA"
“Calm down... nobody is trying to take your guns.” ,-2,"Middletown, CT"
"if the government isn't gonna do something about guns, then can they at least do something about daylight savings time",-2,"Addison, IL"
Too bad joy doesn't appreciate all history. ,-2,"Mariano Colón, USA"
@Obscurus_Lupa They also seem to keep guns in the water that can still work somehow.,-2,"Kentucky, USA"
"My thoughts: I don’t oppose raising the age for purchasing guns of any kind to 21. However, if we do this, the military needs to raise the enlistment age and the voting age to 21 as well. Not old enough to buy a gun=not old enough to serve or vote.",-2,"Louisiana, USA"
Reversing climate change. Protection for Dreamers. Expansion of the ACA. A tax code that benefits the 98%. Common sense guns laws. An end to police brutality. Everything that you are not. ,-2,"Ashland, OR"
"@RealJamesWoods @madd I admire your dedication to animals Mr. Woods.  It shows me you have a conscience.  I wish you would support gun control also, so each year we wouldn’t have to bury so many people, especially children, who die as a result of gun violence.
Thank you,
Sister Anne",-2,"Mathis, TX"
Hey @DLoesch . Kurt's misses you. I don't know why. I wish for the day she is no longer in the public eye. ,-2,"Fargo, ND"
@MattsIdeaShop Gun control uber alles!,-2,"Yucaipa, CA"
"@RealMuckmaker @Solutioneer72 @CNN Not Students, but still HUMAN, Age,heritage,skin color,religion- does not matter! Every family, state, person sue NRA for home grown terrorism, Lawmakers that support their guns and don;t pass gun violence laws, make these asswipes accountable!",-2,"Ohio, USA"
@CloydRivers Remember when you used to post funny shits about beer and guns? I can follow Fox News for this. Stay out of the politics man.,-2,"Florida, USA"
@Liz_Wheeler No gun control is necessary,-2,"Texas, USA"
"@plaqtini @KamalaHarris Banning guns works really well. Chicago has banned guns also. you have me mixed up I never mentioned mental health. Don’t debate the second amendment with me, try the Supreme Court.",-2,"Solvang, CA"
@CloydRivers Remember when you used to post funny shits about beer and guns? I can follow Fox News for this. Stay out of the politic man.,-2,"Florida, USA"
"Joy is scary stupid. No mention of black on black murder with firearms in Chicago, NOLA and St. Louis. Are they shooting up scary brown people, or people who are victims of crime &amp; gang violence with innocents as collateral damage? ",-2,"Los Angeles, CA"
Focus on changing the ignorant minds who feel the need guns an assault rifles.   You cowards. We’re sick of you living in denial.    Guns Kill People an innocent children ,-2,"Baltimore, MD"
@JeremyBlair_ I don't talk about guns,-2,"Greenville, OH"
"What’s it matter?.. #Obama tried diplomacy and ingenuity on multiple fronts and people called him weak for it… you win, you all win, all you #nra and #trump supporters who want your precious guns so bad.. buy em all and point em at each other for all I care, nobody wants change. ",-2,"Easley, SC"
@DLoesch ,-2,"Kenai, AK"
"Far better to spend limited funds on improvements that enhance the current  facilities for teachers and children and HVAC/building projects that would improve student/teacher health, even basic projects such as ensuring quality water sources. ",-2,"Michigan, USA"
"How many guns does @DLoesch need to feel safe enough to not block @kurteichenwald ?
At least one more, apparently.",-2,"Aliso Viejo, CA"
@RealJamesWoods I say an #animalabuser should have the same thing he did to the dog done to him.  #animalcruelty laws r not strong enough.  Absolutely put him on the #domesticabuse no firearms listed.,-2,United States
Florida is getting sued for raising the age of purchase of guns.I agree with them but that's not what the constitution says and the NRA is going to win it will be settled out of  was a stupid move (Florida) you can't win that law is dropped.,-2,"Tuscaloosa, AL"
@cnnbrk HELLO THE REPUBLAINS ARE GOING TOO WIN ON TUEDAY BECAISE WE ARE KEEPING GUNS AND THE NRA ALSO THEY ARE STAYING FOR GOOD IN WASGTON DC,-2,"Brighton, NY"
"Can someone explain to this IDIOT that
1. Nazis are not the only not ones who wore armbands and
2. National Socialism =/= Socialism ",-2,"North Ogden, UT"
"#NRAIsATerroristOrganization 
#NRABloodMoney ",-2,"Berea, KY"
@cnnbrk HELLO WE NEED GUNS IN SCHOOLS ALSO FOR TEACHERS SOO THEY CAN CARRY THEM AROUND TOO BE SAFE ALSO THIS IS A GOOD THING TOO DOO,-2,"Brighton, NY"
So if there were no guns would anyone get shot?,-2,"Indiana, USA"
Indeed ,-2,"Lake Charles, LA"
@DLoesch why'd you block @kurteichenwald? ,-2,"West Virginia, USA"
#JOINTHENRATODAY ,-2,"Texas, USA"
Wanna see everyone walk out. I might walk out of work ,-2,"East Perrine, FL"
When the school board asks the teachers if they’d want to be allowed to carry guns to school and the lowkey savage teacher speaks up ,-2,"Houston, TX"
That look when Trump  rednecks realize they always had their guns but they lost their food stamps and and Healthcare ,-2,"Greensboro, NC"
@DLoesch snowflake ,-2,"Mount Prospect, IL"
"Wants guns banned, wears armbands, looks like a fuckin twat. Hitler did the same thing ",-2,"Gainesville, FL"
From 2/15/18. How many people would be alive today if we had listened—and acted.  IT’S THE GUNS! ,-2,"North Highlands, CA"
@doctorschmitty @mnrothbard What gov propaganda? And I've told you my argument about guns and specifically assault rifles. Now we're just running around in circles.,-2,"Las Vegas, NV"
